Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,generation,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,pcb_dosage,Platform,population,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR12475450,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,4030635282,PRJNA658029,SAMN15856655,1614690583,GEO,public,"bam,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969420,F1,GSM4731960,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:20:00Z,1,GSM4731960,"stage 35\, whole embryo",SRP278069
SRR12475451,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2470263207,PRJNA658029,SAMN15856652,1110504588,GEO,public,"bam,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969421,F1,GSM4731961,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4731961,"stage 35\, whole embryo",SRP278069
SRR12475452,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2826543773,PRJNA658029,SAMN15856650,1216458183,GEO,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969422,F1,GSM4731962,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731962,"stage 35\, whole embryo",SRP278069
SRR12475453,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2896917359,PRJNA658029,SAMN15856649,1242815003,GEO,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969423,F1,GSM4731963,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:13:00Z,1,GSM4731963,"stage 35\, whole embryo",SRP278069
SRR12475454,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2919772742,PRJNA658029,SAMN15856647,1244667251,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969424,F1,GSM4731964,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4731964,"stage 35\, whole embryo",SRP278069
SRR12475455,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,4014679436,PRJNA658029,SAMN15856646,1642583041,GEO,public,"bam,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969425,F1,GSM4731965,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:16:00Z,1,GSM4731965,"stage 35\, whole embryo",SRP278069
SRR12475456,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2913852919,PRJNA658029,SAMN15856644,1260952970,GEO,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969426,F1,GSM4731966,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4731966,"stage 35\, whole embryo",SRP278069
SRR12475457,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3807662090,PRJNA658029,SAMN15856653,1490177378,GEO,public,"run.zq,sra,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969427,F1,GSM4731967,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:12:00Z,1,GSM4731967,"stage 35\, whole embryo",SRP278069
SRR12475459,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4861795117,PRJNA658029,SAMN15856643,1835279260,GEO,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969428,F1,GSM4731968,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:16:00Z,1,GSM4731968,"stage 35\, whole embryo",SRP278069
SRR12475460,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3685737183,PRJNA658029,SAMN15856642,1492003625,GEO,public,"run.zq,bam,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969429,F1,GSM4731969,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:15:00Z,1,GSM4731969,"stage 35\, whole embryo",SRP278069
SRR12475461,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2627187849,PRJNA658029,SAMN15856640,1095185535,GEO,public,"run.zq,bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969430,F1,GSM4731970,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:07:00Z,1,GSM4731970,"stage 35\, whole embryo",SRP278069
SRR12475462,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2281802391,PRJNA658029,SAMN15856639,1008158247,GEO,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969431,F1,GSM4731971,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:04:00Z,1,GSM4731971,"stage 35\, whole embryo",SRP278069
SRR12475463,RNA-Seq,Fundulus_heteroclitus-3.0.2,193,3069712850,PRJNA658029,SAMN15856637,1320750389,GEO,public,"bam,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969432,F1,GSM4731972,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:13:00Z,1,GSM4731972,"stage 35\, whole embryo",SRP278069
SRR12475464,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2881194882,PRJNA658029,SAMN15856635,1258581471,GEO,public,"bam,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969433,F1,GSM4731973,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731973,"stage 35\, whole embryo",SRP278069
SRR12475465,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2974379430,PRJNA658029,SAMN15856634,1254749973,GEO,public,"bam,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969434,F1,GSM4731974,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731974,"stage 35\, whole embryo",SRP278069
SRR12475466,RNA-Seq,Fundulus_heteroclitus-3.0.2,193,2931759042,PRJNA658029,SAMN15856632,1225284887,GEO,public,"sra,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969435,F1,GSM4731975,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:07:00Z,1,GSM4731975,"stage 35\, whole embryo",SRP278069
SRR12475467,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3454010919,PRJNA658029,SAMN15856687,1407946946,GEO,public,"run.zq,bam,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969436,F1,GSM4731976,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Flax Pond,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731976,"stage 35\, whole embryo",SRP278069
SRR12475468,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3252286816,PRJNA658029,SAMN15856686,1365885110,GEO,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969437,F2,GSM4731977,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731977,"stage 35\, whole embryo",SRP278069
SRR12475469,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2480210024,PRJNA658029,SAMN15856684,1080374597,GEO,public,"bam,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969438,F2,GSM4731978,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:12:00Z,1,GSM4731978,"stage 35\, whole embryo",SRP278069
SRR12475470,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2011624761,PRJNA658029,SAMN15856683,948648729,GEO,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969439,F2,GSM4731979,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731979,"stage 35\, whole embryo",SRP278069
SRR12475471,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2900465988,PRJNA658029,SAMN15856681,1228953244,GEO,public,"sra,bam,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969440,F2,GSM4731980,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T10:59:00Z,1,GSM4731980,"stage 35\, whole embryo",SRP278069
SRR12475472,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2644380426,PRJNA658029,SAMN15856679,1147940267,GEO,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969441,F2,GSM4731981,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4731981,"stage 35\, whole embryo",SRP278069
SRR12475473,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2746382631,PRJNA658029,SAMN15856678,1201532757,GEO,public,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969442,F2,GSM4731982,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:10:00Z,1,GSM4731982,"stage 35\, whole embryo",SRP278069
SRR12475474,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3327005689,PRJNA658029,SAMN15856677,1367345997,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969443,F2,GSM4731983,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:10:00Z,1,GSM4731983,"stage 35\, whole embryo",SRP278069
SRR12475475,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3111684315,PRJNA658029,SAMN15856675,1308770460,GEO,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969444,F2,GSM4731984,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:16:00Z,1,GSM4731984,"stage 35\, whole embryo",SRP278069
SRR12475476,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2525678455,PRJNA658029,SAMN15856673,1107308667,GEO,public,"run.zq,bam,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969445,F2,GSM4731985,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,King's Creek,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4731985,"stage 35\, whole embryo",SRP278069
SRR12475477,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,2440597448,PRJNA658029,SAMN15856672,1031044908,GEO,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969447,F2,GSM4731986,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731986,"stage 35\, whole embryo",SRP278069
SRR12475478,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4440916033,PRJNA658029,SAMN15856670,1724289893,GEO,public,"bam,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969448,F2,GSM4731987,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:18:00Z,1,GSM4731987,"stage 35\, whole embryo",SRP278069
SRR12475479,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4087732016,PRJNA658029,SAMN15856669,1577029104,GEO,public,"run.zq,bam,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969449,F2,GSM4731988,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731988,"stage 35\, whole embryo",SRP278069
SRR12475480,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4181593450,PRJNA658029,SAMN15856668,1642221336,GEO,public,"sra,run.zq,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969450,F2,GSM4731989,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731989,"stage 35\, whole embryo",SRP278069
SRR12475481,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2636696711,PRJNA658029,SAMN15856666,1150923672,GEO,public,"bam,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969451,F2,GSM4731990,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:10:00Z,1,GSM4731990,"stage 35\, whole embryo",SRP278069
SRR12475482,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2062829787,PRJNA658029,SAMN15856665,912447672,GEO,public,"sra,run.zq,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969452,F2,GSM4731991,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:07:00Z,1,GSM4731991,"stage 35\, whole embryo",SRP278069
SRR12475483,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,2366455096,PRJNA658029,SAMN15856664,1010164275,GEO,public,"bam,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969453,F2,GSM4731992,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731992,"stage 35\, whole embryo",SRP278069
SRR12475484,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4166839734,PRJNA658029,SAMN15856662,1582629324,GEO,public,"sra,run.zq,bam","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969454,F2,GSM4731993,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,New Bedford Harbor,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731993,"stage 35\, whole embryo",SRP278069
SRR12475485,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2513925818,PRJNA658029,SAMN15856661,1099218968,GEO,public,"run.zq,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969455,F2,GSM4731994,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:01:00Z,1,GSM4731994,"stage 35\, whole embryo",SRP278069
SRR12475486,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,5147639859,PRJNA658029,SAMN15856709,1886659478,GEO,public,"sra,run.zq,bam","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969456,F2,GSM4731995,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:15:00Z,1,GSM4731995,"stage 35\, whole embryo",SRP278069
SRR12475487,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,5929392572,PRJNA658029,SAMN15856708,2194540245,GEO,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969457,F2,GSM4731996,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:36:00Z,1,GSM4731996,"stage 35\, whole embryo",SRP278069
